level,id,name,hit,total
town,10010100,臺灣省嘉義縣義竹鄉,0,22
town,10010130,臺灣省嘉義縣中埔鄉,0,22
town,10013030,臺灣省屏東縣東港鎮,0,22
town,10009170,臺灣省雲林縣元長鄉,0,21
town,10009180,臺灣省雲林縣四湖鄉,0,21
town,10009190,臺灣省雲林縣口湖鄉,0,21
town,10010040,臺灣省嘉義縣大林鎮,0,21
town,10013020,臺灣省屏東縣潮州鎮,0,21
town,67000030,臺南市白河區,0,21
town,67000280,臺南市歸仁區,0,21
town,10009070,臺灣省雲林縣古坑鄉,0,20
town,63000090,臺北市南港區,0,20
town,65000080,新北市鶯歌區,0,20
town,65000150,新北市五股區,0,20
town,67000070,臺南市麻豆區,0,20
town,67000190,臺南市善化區,0,20
town,67000370,臺南市中西區,0,20
town,68000060,桃園市大園區,0,20
town,10005090,臺灣省苗栗縣公館鄉,0,19
town,10013110,臺灣省屏東縣高樹鄉,0,19
town,10009110,臺灣省雲林縣二崙鄉,0,18
town,10010010,臺灣省嘉義縣太保市,0,18
town,10010150,臺灣省嘉義縣梅山鄉,0,18
town,10015050,臺灣省花蓮縣吉安鄉,0,18
town,67000150,臺南市七股區,0,18
town,10009050,臺灣省雲林縣土庫鎮,0,17
town,10013040,臺灣省屏東縣恆春鎮,0,17
town,65000160,新北市泰山區,0,17
town,65000170,新北市林口區,0,17
town,10013060,臺灣省屏東縣長治鄉,0,16
town,67000060,臺南市東山區,0,16
town,67000120,臺南市佳里區,0,16
town,67000180,臺南市新化區,0,16
town,67000270,臺南市仁德區,0,16
town,10009080,臺灣省雲林縣大埤鄉,0,15
town,10009160,臺灣省雲林縣臺西鄉,0,15
town,10010110,臺灣省嘉義縣鹿草鄉,0,15
town,10013140,臺灣省屏東縣竹田鄉,0,15
town,10013160,臺灣省屏東縣枋寮鄉,0,15
town,10013170,臺灣省屏東縣新園鄉,0,15
town,10015030,臺灣省花蓮縣玉里鎮,0,15
town,10015060,臺灣省花蓮縣壽豐鄉,0,15
town,65000270,新北市金山區,0,15
town,67000290,臺南市關廟區,0,15
town,10009090,臺灣省雲林縣莿桐鄉,0,14
town,10009120,臺灣省雲林縣崙背鄉,0,14
town,10010060,臺灣省嘉義縣溪口鄉,0,14
town,10013090,臺灣省屏東縣里港鄉,0,14
town,10013120,臺灣省屏東縣萬巒鄉,0,14
town,10015070,臺灣省花蓮縣光復鄉,0,14
town,67000050,臺南市後壁區,0,14
town,10009130,臺灣省雲林縣麥寮鄉,0,13
town,10014040,臺灣省臺東縣卑南鄉,0,13
town,10015100,臺灣省花蓮縣富里鄉,0,13
town,65000210,新北市三芝區,0,13
town,67000020,臺南市鹽水區,0,13
town,67000040,臺南市柳營區,0,13
town,67000130,臺南市學甲區,0,13
town,67000210,臺南市安定區,0,13
town,67000360,臺南市安平區,0,13
town,10005080,臺灣省苗栗縣大湖鄉,0,12
town,10009140,臺灣省雲林縣東勢鄉,0,12
town,10010180,臺灣省嘉義縣阿里山鄉,0,12
town,10013100,臺灣省屏東縣鹽埔鄉,0,12
town,10013210,臺灣省屏東縣佳冬鄉,0,12
town,10015020,臺灣省花蓮縣鳳林鎮,0,12
town,65000190,新北市石碇區,0,12
town,65000240,新北市平溪區,0,12
town,65000250,新北市雙溪區,0,12
town,67000080,臺南市下營區,0,12
town,67000140,臺南市西港區,0,12
town,67000160,臺南市將軍區,0,12
town,10005070,臺灣省苗栗縣卓蘭鎮,0,11
town,10010160,臺灣省嘉義縣番路鄉,0,11
town,10013080,臺灣省屏東縣九如鄉,0,11
town,10013230,臺灣省屏東縣車城鄉,0,11
town,10015090,臺灣省花蓮縣瑞穗鄉,0,11
town,65000260,新北市貢寮區,0,11
town,67000090,臺南市六甲區,0,11
town,67000200,臺南市新市區,0,11
town,10005100,臺灣省苗栗縣銅鑼鄉,0,10
town,10009100,臺灣省雲林縣林內鄉,0,10
town,10013190,臺灣省屏東縣林邊鄉,0,10
town,10013200,臺灣省屏東縣南州鄉,0,10
town,10013260,臺灣省屏東縣三地門鄉,0,10
town,10014060,臺灣省臺東縣池上鄉,0,10
town,65000230,新北市八里區,0,10
town,65000280,新北市萬里區,0,10
town,67000100,臺南市官田區,0,10
town,67000110,臺南市大內區,0,10
town,67000170,臺南市北門區,0,10
town,67000230,臺南市玉井區,0,10
town,67000260,臺南市左鎮區,0,10
town,68000130,桃園市復興區,0,10
town,10005110,臺灣省苗栗縣南庄鄉,0,9
town,10005140,臺灣省苗栗縣西湖鄉,0,9
town,10005150,臺灣省苗栗縣造橋鄉,0,9
town,10009150,臺灣省雲林縣褒忠鄉,0,9
town,10014090,臺灣省臺東縣太麻里鄉,0,9
town,10015040,臺灣省花蓮縣新城鄉,0,9
town,10015110,臺灣省花蓮縣秀林鄉,0,9
town,65000220,新北市石門區,0,9
town,67000250,臺南市南化區,0,9
town,10005120,臺灣省苗栗縣頭屋鄉,0,8
town,10005160,臺灣省苗栗縣三灣鄉,0,8
town,10005180,臺灣省苗栗縣泰安鄉,0,8
town,10013180,臺灣省屏東縣崁頂鄉,0,8
town,10013220,臺灣省屏東縣琉球鄉,0,8
town,10013240,臺灣省屏東縣滿州鄉,0,8
town,10013320,臺灣省屏東縣獅子鄉,0,8
town,10014020,臺灣省臺東縣成功鎮,0,8
town,65000180,新北市深坑區,0,8
town,67000300,臺南市龍崎區,0,8
town,10005130,臺灣省苗栗縣三義鄉,0,7
town,10005170,臺灣省苗栗縣獅潭鄉,0,7
town,10013070,臺灣省屏東縣麟洛鄉,0,7
town,10013150,臺灣省屏東縣新埤鄉,0,7
town,10013300,臺灣省屏東縣來義鄉,0,7
town,10014030,臺灣省臺東縣關山鎮,0,7
town,10014050,臺灣省臺東縣鹿野鄉,0,7
town,10014070,臺灣省臺東縣東河鄉,0,7
town,65000200,新北市坪林區,0,7
town,67000220,臺南市山上區,0,7
town,67000240,臺南市楠西區,0,7
town,10013270,臺灣省屏東縣霧臺鄉,0,6
town,10013280,臺灣省屏東縣瑪家鄉,0,6
town,10013290,臺灣省屏東縣泰武鄉,0,6
town,10013310,臺灣省屏東縣春日鄉,0,6
town,10013330,臺灣省屏東縣牡丹鄉,0,6
town,10014080,臺灣省臺東縣長濱鄉,0,6
town,10014120,臺灣省臺東縣海端鄉,0,6
town,10014150,臺灣省臺東縣達仁鄉,0,6
town,10015120,臺灣省花蓮縣萬榮鄉,0,6
town,10015130,臺灣省花蓮縣卓溪鄉,0,6
town,10010170,臺灣省嘉義縣大埔鄉,0,5
town,10014100,臺灣省臺東縣大武鄉,0,5
town,10014130,臺灣省臺東縣延平鄉,0,5
town,10014140,臺灣省臺東縣金峰鄉,0,5
town,10015080,臺灣省花蓮縣豐濱鄉,0,5
town,65000290,新北市烏來區,0,5
town,10013250,臺灣省屏東縣枋山鄉,0,4
town,10014160,臺灣省臺東縣蘭嶼鄉,0,4
town,10014110,臺灣省臺東縣綠島鄉,0,3
town,09020060,福建省金門縣烏坵鄉,0,2
